中文名,外文名,软科排名,985,211,双一流
四川农业大学,Sichuan Agricultural University,134,否,是,是
长沙理工大学,Changsha University of Science & Technology,135,否,否,否
石河子大学,Shihezi University,135,否,是,是
山东第一医科大学,Shandong First Medical University,医17,否,否,否
宁夏大学,Ningxia University,137,否,是,是
长春理工大学,Changchun University of Science and Technology,138,否,否,否
广东以色列理工学院,Guangdong Technion - Israel Institute of Technology,合作7,否,否,否
华侨大学,Huaqiao University,139,否,否,否
中国人民公安大学,People's Public Security University of China,政4,否,否,是
山东科技大学,Shandong University of Science and Technology,140,否,否,否
江苏科技大学,Jiangsu University of Science and Technology,141,否,否,否
上海海洋大学,Shanghai Ocean University,142,否,否,是
安徽农业大学,Anhui Agricultural University,143,否,否,否
山东财经大学,Shandong University of Finance and Economics,财13,否,否,否
上海对外经贸大学,Shanghai University of International Business and Economics,财14,否,否,否
中北大学,North University of China,144,否,否,否
安徽师范大学,Anhui Normal University,145,否,否,否
河南农业大学,Henan Agricultural University,145,否,否,否
重庆邮电大学,Chongqing University of Posts and Telecommunications,147,否,否,否
南通大学,Nantong University,147,否,否,否
广西师范大学,Guangxi Normal University,149,否,否,否
浙江农林大学,Zhejiang A&F University,149,否,否,否
齐鲁工业大学,Qilu University of Technology,151,否,否,否
中国计量大学,China Jiliang University,151,否,否,否
温州肯恩大学,Wenzhou-Kean University,合作8,否,否,否
广西医科大学,Guangxi Medical University,医18,否,否,否
沈阳农业大学,Shenyang Agricultural University,153,否,否,否
西北师范大学,Northwest Normal University,154,否,否,否
北师香港浸会大学,Beijing Normal-Hong Kong Baptist University,合作9,否,否,否
黑龙江大学,Heilongjiang University,155,否,否,否
集美大学,Jimei University,156,否,否,否
延边大学,Yanbian University,157,否,是,是
天津科技大学,Tianjin University of Science and Technology,158,否,否,否
徐州医科大学,Xuzhou Medical University,医19,否,否,否
武汉纺织大学,Wuhan Textile University,159,否,否,否
南京审计大学,Nanjing Audit University,财15,否,否,否
中南民族大学,South-Central Minzu University,民2,否,否,否
