中文名,外文名,软科排名,独立学院,民办高校
黄河科技学院,Huanghe S & T University,,否,是
黄河水利职业技术大学,Yellow River Conservancy Technical University,,否,否
黄淮学院,Huanghuai University,,否,否
黄山健康职业学院,Huangshan Health Vocational College,,否,是
黄山学院,Huangshan University,,否,否
黄山职业技术学院,Huangshan Vocational Technical College,,否,否
徽商职业学院,Huishang Vocational College,,否,否
惠州城市职业学院,City College of Huizhou,,否,否
惠州工程职业学院,Huizhou Engineering Vocational College,,否,否
惠州经济职业技术学院,Huizhou Economics And Polytechnic College,,否,是
惠州卫生职业技术学院,Huizhou Health Sciences Polytechnic,,否,否
吉安幼儿师范高等专科学校,Ji'an Preschool Education College,,否,否
吉安职业技术学院,Ji'an College,,否,否
吉利学院,Geely University of China,,否,是
吉林城市职业技术学院,Jilin Institute Of Urban Vocational Technology,,否,是
吉林电子信息职业技术学院,Jilin College Of Electronic Information,,否,否
吉林动画学院,Jilin Animation Institute,,否,是
吉林工程技术师范学院,Jilin Engineering Normal University,,否,否
吉林工程职业学院,Jilin Engineering Vocational College,,否,否
吉林工商学院,Jilin Business and Technology College,,否,否
吉林工业职业技术学院,Jilin Vocational College Of Industry And Technology,,否,否
吉林化工大学,Jilin University of Chemical Technology,,否,否
吉林建筑科技学院,Jilin University of Architecture and Technology,,否,是
吉林交通职业技术学院,Jilin Communications Polytechnic,,否,否
吉林警察学院,Jilin Police College,,否,否
吉林科技职业技术学院,Jilin Science And Technology Vocational College,,否,是
吉林农业科技学院,Jilin Agricultural Science and Technology University,,否,否
吉林师范大学博达学院,Boda College of Jilin Normal University,,是,否
吉林水利电力职业学院,Jilin Polytechnic Of Water Resources And Electric Engineering,,否,否
吉林司法警官职业学院,The Judicial Jilin Police College,,否,否
吉林体育学院,Jilin Institute of Physical Education,,否,否
吉林铁道职业技术大学,Jilin Tiedao University,,否,否
吉林通用航空职业技术学院,Jilin General Aviation Vocational And Technical College,,否,否
吉林外国语大学,Jilin International Studies University,,否,是
吉林医药学院,Jilin Medical University,,否,否
吉林艺术学院,Jilin University of Arts,,否,否
吉林职业技术学院,Jilin Vocational And Technical College,,否,是
集美大学诚毅学院,"Chengyi College, Jimei University",,是,否
集美工业职业学院,Jimei Polytechnic Vocational College,,否,否
集宁师范学院,Jining Normal University,,否,否
济南工程职业技术学院,Jinan Engineering Vocational Technical College,,否,否
济南护理职业学院,Jinan Vocational College Of Nursing,,否,否
济南幼儿师范高等专科学校,Jinan Preschool Education College,,否,否
济南职业学院,Jinan Vocational College,,否,否
济宁汽车工程职业学院,Jining Vocational College of Automobile Engineering,,否,是
济宁学院,Jining University,,否,否
济宁职业技术学院,Jining Polytechnic,,否,否
济源职业技术学院,Jiyuan Vocational And Technical College,,否,否
冀中职业学院,Jizhong Vocational College,,否,否
佳木斯职业学院,Jiamusi Vocational College,,否,否
嘉兴南湖学院,Jiaxing Nanhu University,,否,否
嘉兴南洋职业技术学院,Jiaxing Nanyang Polytechnic Institute,,否,是
嘉兴职业技术学院,Jiaxing Vocational & Technical College,,否,否
嘉应学院,Jiaying University,,否,否
建东职业技术学院,Jiandong Vocational And Technical College,,否,是
江海职业技术学院,Jianghai College,,否,是
江汉艺术职业学院,Jianghan Art Vocational College,,否,否
江门职业技术学院,Jiangmen Vocational And Polytechnic College,,否,否
江南影视艺术职业学院,Jiangnan Vocational College Of Media Arts,,否,是
江苏安全技术职业学院,Jiangsu College Of Safety Technology,,否,否
江苏财会职业学院,Jiangsu College Of Finance & Accounting,,否,否
江苏财经职业技术学院,Jiangsu Vocational College Of Finance And Economics,,否,否
江苏城市职业学院,The City Vocational College Of Jiangsu,,否,否
江苏城乡建设职业学院,Jiangsu Urban And Rural Construction College,,否,否
江苏大学京江学院,Jiangsu University Jingjiang College,,是,否
江苏第二师范学院,Jiangsu Second Normal University,,否,否
江苏电子信息职业学院,Jiangsu Vocational College Of Electronics And Information，Jsei,,否,否
江苏工程职业技术学院,Jiangsu College Of Engineering And Technology,,否,否
江苏海事职业技术学院,Jiangsu Maritime Institute,,否,否
江苏航空职业技术学院,Jiangsu Aviation Technical College,,否,否
江苏航运职业技术学院,Jiangsu Shipping College,,否,否
江苏护理职业学院,Jiangsu Collge Of Nursing,,否,否
江苏建筑职业技术大学,Jiangsu University of Architectural Technology,,否,否
江苏经贸职业技术学院,Jiangsu Vocational Institute Of Commerce,,否,否
江苏科技大学苏州理工学院,"Suzhou Institute of Technology, Jiangsu University of Science and Technology",,是,否
江苏联合职业技术学院,Jiangsu Union Technical Institute,,否,否
江苏旅游职业学院,Jiangsu Vocational College Of Tourism,,否,否
江苏农林职业技术学院,Jiangsu Vocational College Of Agriculture And Forestry,,否,否
江苏农牧科技职业学院,Jiangsu Agri-Animal Husbandry Vocational College,,否,否
江苏商贸职业学院,Jiangsu Vocational College Of Business,,否,否
江苏师范大学科文学院,Jiangsu Normal University Kewen College,,是,否
江苏食品药品职业技术学院,Jiangsu Food & Pharmaceutical Science College,,否,否
江苏司法警官职业学院,Jiangsu Justice Police College,,否,否
江苏卫生健康职业学院,Jiangsu Health Vocational College,,否,否
江苏信息职业技术学院,Jiangsu Vocational College Of Information Technology,,否,否
江苏医药职业学院,Jiangsu Vocational College Of Medicine,,否,否
江西财经大学现代经济管理学院,College of Modern Economics & Management JUFE,,是,否
江西财经职业学院,Jiangxi Vocational College Of Finance And Economis,,否,否
江西传媒职业学院,Jiangxi Media Vocational College,,否,否
江西电力职业技术学院,Jiangxi Vocational & Technical College Of Electricity,,否,否
江西电子信息职业技术学院,Jiangxi Electronic Information Polytechnic College,,否,否
江西飞行学院,Jiangxi Flight University,,否,否
江西枫林涉外经贸职业学院,Jiangxi Fenglin College Of Foreign Economy & Trade,,否,是
江西服装学院,Jiangxi Institute of Fashion Technology,,否,是
江西工程学院,Jiangxi University of Engineering,,否,是
江西工程职业学院,Jiangxi Engineering Vocational College,,否,否
江西工商职业技术学院,Jiangxi Technology Business Polytechnic,,否,是
江西工业工程职业技术学院,Jiangxi Vocational College Of Industry & Engineering,,否,否
江西工业贸易职业技术学院,Jiangxi Vocational Technical College Of Lndustry & Trade,,否,否
江西工业职业技术学院,Jiangxi Industry Polytechnic College,,否,否
江西管理职业学院,Jiangxi Management Vocational College,,否,否
江西航空职业技术学院,Jiangxi Aviation Vocational And Technical College,,否,是
江西洪州职业学院,Jiangxi Hongzhou Vocational College,,否,是
江西环境工程职业学院,Jiangxi Environmental Engineering Vocational College,,否,否
江西机电职业技术学院,Jiangxi Vocational College Of Mechanical & Electrical Technology,,否,否
江西建设职业技术学院,Jiangxi College Of Construction,,否,否
江西交通职业技术学院,Jiangxi V&T College Of Communications,,否,否
江西经济管理职业学院,Jiangxi Institute Of Economic Administrators,,否,否
江西警察学院,Jiangxi Police Institute,,否,否
江西科技学院,Jiangxi University of Technology,,否,是
江西科技职业学院,Jiangxi Vocational College Of Technology,,否,是
江西旅游商贸职业学院,Jiangxi Tourism And Commerce Vocational College,,否,否
江西农业大学南昌商学院,Nanchang Business College of JXAU,,是,否
江西农业工程职业学院,Jiangxi Agricultural Engineering College,,否,否
江西青年职业学院,Jiangxi Youth Vocational College,,否,否
江西软件职业技术大学,Jiangxi University of Software Professional Technology,,否,是
江西生物科技职业学院,Jiangxi Biotech Vocational College,,否,否
江西师范大学科学技术学院,Jiangxi Normal University Science and Technology College,,是,否
江西师范高等专科学校,Jiangxi Teachers College,,否,否
江西水利职业学院,Jiangxi Water Resources Institute,,否,否
江西司法警官职业学院,Jiangxi Justice Police Vocational College,,否,否
江西陶瓷工艺美术职业技术学院,Jiangxi Arts & Ceramics Technology Institute,,否,否
江西外语外贸职业大学,Jiangxi Vocational University of Foreign Studies,,否,否
江西卫生职业学院,Jiangxi Health Vocational College,,否,否
江西婺源茶业职业学院,Jiangxi Wuyuan Tea Vocational College,,否,否
江西现代职业技术学院,Jiangxi Modern Polytechnic College,,否,否
江西新能源科技职业学院,Jiangxi New Energy Technology Institute,,否,是
江西信息应用职业技术学院,Jiangxi Vocational And Technical College Of Information Application,,否,否
江西冶金职业技术学院,Jiangxi Metallurgical Vocational And Technical College,,否,否
江西医学高等专科学校,Jiangxi Medical College,,否,否
江西艺术职业学院,Jiangxi Vocational Academy Of Art,,否,否
江西应用工程职业学院,Jiangxi Application Engineering Vocational College,,否,否
江西应用技术职业学院,Jiangxi College Of Applied Technology,,否,否
江西应用科技学院,Jiangxi Institute of Applied Science and Technology,,否,是
江西樟树中医药职业学院,Jiangxi Zhangshu Vocational College of Traditional Chinese Medicine,,否,是
江西职业技术大学,Jiangxi Polytechnic University,,否,否
江西制造职业技术学院,Jiangxi Technical College of Manufacturing,,否,否
江阳城建职业学院,Jiangyang City Construction College,,否,是
江阴职业技术学院,Jiangyin Polytechnic College,,否,否
焦作大学,Jiaozuo University,,否,否
焦作工贸职业学院,Jiaozuo College of Industry and Trade,,否,是
焦作师范高等专科学校,Jiaozuo Teachers College,,否,否
焦作新材料职业学院,Jiaozuo Vocational College of New Materials,,否,是
揭阳职业技术学院,Jieyang Polytechnic,,否,否
金华职业技术大学,Jinhua University of Vocational Technology,,否,否
金肯职业技术学院,Jinken College Of Technology,,否,是
金山职业技术学院,Jinshan Vocational Technical College,,否,是
锦州师范高等专科学校,Jinzhou Normal College,,否,否
锦州医科大学医疗学院,Medical College of Jinzhou Medical University,,是,否
晋城职业技术学院,Jincheng Institute Of Technology,,否,否
晋中健康学院,Jinzhong College of Health,,否,是
晋中师范高等专科学校,Jinzhong Normal Junior College,,否,否
晋中信息学院,Jinzhong College of Information,,否,是
晋中学院,Jinzhong University,,否,否
晋中职业技术学院,Jinzhong Vocational And Technical College,,否,否
荆楚理工学院,Jingchu University of Technology,,否,否
荆门通用航空职业技术学院,Jingmen Technical College of General Aviation,,否,否
荆门职业学院,Jingmen Vocational College,,否,否
荆州理工职业学院,Jingzhou Vocational College Of Technology,,否,否
荆州学院,Jingzhou University,,否,是
荆州职业技术学院,Jingzhou Institute Of Technology,,否,否
景德镇陶瓷职业技术学院,Jingdezhen Ceramic Vocational Technical College,,否,是
景德镇学院,Jingdezhen University,,否,否
景德镇艺术职业大学,Jingdezhen Vocational University of Art,,否,是
九江科技职业大学,Jiujiang Polytechnic University of Science and Technology,,否,是
九江理工职业学院,Jiujiang Insititute Of Technology,,否,是
九江卫生健康职业学院,Jiujiang Health Vocational College,,否,否
九江学院,Jiujiang University,,否,否
九江职业大学,Jiujiang Vocational University,,否,否
九州职业技术学院,Jiuzhou Polytechnic,,否,是
酒泉职业技术大学,Jiuquan Vocational Technical University,,否,否
喀什大学,Kashi University,,否,否
喀什理工职业技术学院,Kashi Polytechnic Vocational and Technical College,,否,否
喀什职业技术学院,Kashgar Vocational and Technical College,,否,否
开封大学,Kaifeng University,,否,否
开封工程职业学院,Kaifeng Engineering Vocational College,,否,是
开封文化艺术职业学院,Kaifeng Vocational College Of Culture And Arts,,否,否
开封职业学院,Kaifeng Vocational College,,否,是
开封智慧健康职业学院,Kaifeng Smart Health Vocational College,,否,是
凯里学院,Kaili University,,否,否
康复大学,University of Health and Rehabilitation Sciences,,否,否
科尔沁艺术职业学院,Horqin Vocational College Of Art,,否,否
可克达拉职业技术学院,Cocodala Vocational and Technical College,,否,否
克拉玛依职业技术学院,Karamay Vocational & Technical College,,否,否
克孜勒苏职业技术学院,Kizilsu Vocational Technical College,,否,否
昆明城市学院,Kunming City University,,否,是
昆明传媒学院,Communication University of Kunming,,否,是
昆明工业职业技术学院,Kunming Vocational And Technical College Of Industry,,否,否
昆明航空职业学院,Kunming Aviation Vocational College,,否,是
昆明科技职业大学,Kunming Vocational University of Science and Technology,,否,是
昆明理工大学津桥学院,Kunming University of Science and Technology Oxbridge College,,是,否
昆明铁道职业技术学院,Kunming Railway Vocational Technical College,,否,否
昆明卫生职业学院,Kunming Health Vocational College,,否,是
昆明文理学院,The College of Arts and Sciences·Kunming,,否,是
昆明冶金职业大学,Kunming Metallurgy University,,否,否
昆明医科大学海源学院,Kunming Medical University Hai Yuan College,,是,否
昆明艺术职业学院,Kunming Professional College Of Arts,,否,是
昆明幼儿师范高等专科学校,Kunming Preschool Teachers College,,否,否
昆山登云科技职业学院,Kunshan Dengyun College Of Science And Technology,,否,是
昆玉职业技术学院,Kunyu Vocational Technical College,,否,否
拉萨师范学院,Lasa Normal University,,否,否
莱芜职业技术学院,Laiwu Vocational And Technical College,,否,否
兰考三农职业学院,Lankao Vocational College Of San Nong,,否,否
兰州博文科技学院,Lanzhou Bowen College of Science and Technology,,否,是
兰州城市学院,Lanzhou City University,,否,否
兰州工商学院,Lanzhou Technology and Business College,,否,是
兰州工业学院,Lanzhou Institute of Technology,,否,否
兰州航空职业技术学院,Lanzhou Aviation Technology College,,否,否
兰州科技职业学院,Lanzhou Vocational College Of Science&Technology,,否,是
兰州石化职业技术大学,Lanzhou Petrochemical University of Vocational Technology,,否,否
兰州外语职业学院,Lanzhou College of Foreign Studies,,否,是
兰州文理学院,Lanzhou University of Arts and Science,,否,否
兰州现代职业学院,Lanzhou Modern Vocational College,,否,否
兰州信息科技学院,Lanzhou University of Information Science and Technology,,否,是
兰州职业技术学院,Lanzhou Vocational Technical College,,否,否
兰州资源环境职业技术大学,Lanzhou Resource & Environment Voc-Tech University,,否,否
廊坊师范学院,Langfang Normal University,,否,否
廊坊卫生职业学院,Langfang Health Vocational College,,否,否
廊坊燕京职业技术学院,Langfang Yanjing Vocational Technical College,,否,否
廊坊职业技术学院,Langfang Polytechnic Institute,,否,否
乐山师范学院,Leshan Normal University,,否,否
乐山职业技术学院,Leshan Vocational And Technical College,,否,否
黎明职业大学,Liming Vocational University,,否,否
丽江师范学院,Lijiang Normal University,,否,否
丽江文化旅游学院,Lijiang Culture and Tourism College,,否,是
丽江职业技术学院,Lijiang Vocational and Technical College,,否,否
丽水职业技术学院,Lishui Vocational And Technical College,,否,否
连云港师范学院,Lianyungang Normal University,,否,否
连云港职业技术学院,Lianyungang Technical College,,否,否
辽东学院,Liaodong University,,否,否
辽河石油职业技术学院,Liaohe Petroleum Career Technical College,,否,否
辽宁财贸学院,Liaoning Finance and Trade College,,否,是
辽宁城市建设职业技术学院,Liaoning Urban Construction Technical College,,否,否
辽宁传媒学院,Liaoning Communication University,,否,是
辽宁地质工程职业学院,Liaoning Geology Engineering Vocational College,,否,否
辽宁对外经贸学院,Liaoning University of International Business and Economics,,否,是
辽宁工程职业学院,Liaoning Engineering Vocational College,,否,否
辽宁广告职业学院,Liaoning Advertising Vocational College,,否,是
辽宁轨道交通职业学院,Guidao Jiaotong Polytechnic Institute,,否,否
辽宁何氏医学院,He University,,否,是
辽宁机电职业技术学院,Liaoning Mechatronics College,,否,否
辽宁建筑职业学院,Liaoning Jianzhu Vocational College,,否,否
辽宁金融职业学院,Liaoning Finance Vocational College,,否,否
辽宁经济职业技术学院,Liaoning Economy Vocational And Technical College,,否,否
辽宁科技学院,Liaoning Institute of Science and Technology,,否,否
辽宁理工学院,Liaoning Institute of Science and Engineering,,否,是
辽宁理工职业大学,Liaoning Vocational University of Technology,,否,是
辽宁民族师范高等专科学校,Liaoning National Normal College,,否,否
辽宁农业职业技术学院,Liaoning Agricultural College,,否,否
辽宁轻工职业学院,Liaoning Vocational College Of Light Industry,,否,否
辽宁商贸职业学院,Liaoning Vocational College Of Business,,否,否
辽宁生态工程职业学院,Liaoning Vocational College Of Ecological Engineering,,否,否
辽宁省交通高等专科学校,Liaoning Provincial College Of Communications,,否,否
辽宁师范大学海华学院,"Haihua College, Liaoning Normal University",,是,否
辽宁师范高等专科学校,Liaoning Normal College,,否,否
辽宁石化职业技术学院,Liaoning Petrochemical College,,否,否
辽宁税务高等专科学校,Liaoning College Of Taxation,,否,否
辽宁特殊教育师范高等专科学校,Liaoning Special Education Teachers College,,否,否
辽宁体育运动职业技术学院,Liaoning Vocational And Technical College Of Sports,,否,否
辽宁铁道职业技术学院,Liaoning Railway Vocational And Technical College,,否,否
辽宁现代服务职业技术学院,Liaoning Vocational And Technical College Of Modern Service,,否,否
辽宁冶金职业技术学院,Liaoning Metallurgical Vocational Technical College,,否,否
辽宁医药职业学院,Liaoning Vocational College Of Medicine,,否,否
辽宁政法职业学院,Liaoning Administraters College Of Police And Justice,,否,否
辽宁职业学院,Liaoning Vocational College,,否,否
辽宁中医药大学杏林学院,Liaoning University of Traditional Chinese Medicine Xinglin College,,是,否
辽宁装备制造职业技术学院,Liaoning Equipment Manufacturing Vocational And Technical College,,否,否
辽阳职业技术学院,Liaoyang Vocational College Of Technology,,否,否
辽源职业技术学院,Liao Yuan Vocational Technical College,,否,否
聊城大学东昌学院,Liaocheng University Dongchang College,,是,否
聊城科技职业学院,Liaocheng Vocational College of Science and Technology,,否,否
聊城职业技术学院,Liaocheng Vocational And Technical College,,否,否
林州建筑职业技术学院,Linzhou College Of Architectural Technology,,否,是
临沧职业学院,Lincang Vocational College,,否,否
临汾职业技术学院,Linfen Vocational And Technical College,,否,否
临夏现代职业学院,Linxia Modern Vocational College,,否,否
临沂城市职业学院,Linyi City Vocational College,,否,是
临沂科技职业学院,Linyi Vocational University Of Science And Technology,,否,否
临沂职业学院,Linyi Vocational College,,否,否
柳州城市职业学院,Liuzhou City Vocational College,,否,否
柳州工学院,Liuzhou Institute of Technology,,否,是
柳州铁道职业技术学院,Liuzhou Railway Vocationa Technica College,,否,否
柳州职业技术大学,Liuzhou Polytechnic University,,否,否
六安应用科技职业学院,Lu'An College of Applied Science and Technology,,否,否
六安职业技术学院,Lu'an Vocational Technical College,,否,否
六盘水师范学院,Liupanshui Normal University,,否,否
六盘水幼儿师范高等专科学校,Liupanshui Preschool Educatlon College,,否,否
六盘水职业技术学院,Liupanshui Vocational And Technical College,,否,否
陇东学院,Longdong University,,否,否
陇南师范学院,Longnan Normal University,,否,否
娄底幼儿师范高等专科学校,Loudi Preschool Education College,,否,否
娄底职业技术学院,Loudi Vocational And Technical College,,否,否
泸州医疗器械职业学院,Luzhou College Of Medical Devices,,否,是
泸州职业技术学院,Luzhou Vocational And Technical College,,否,否
鲁迅美术学院,Luxun Academy of Fine Arts,,否,否
陆军军事交通学院,Army Military Transportation University,,否,否
潞安职业技术学院,Lu'an Vocational And Technical College,,否,否
吕梁师范高等专科学校,Lyuliang Teachers College,,否,否
吕梁学院,Lyuliang University,,否,否
吕梁职业技术学院,Lvliang Vocational And Technical College,,否,否
罗定职业技术学院,Luoding Polytechnic,,否,否
洛阳科技职业学院,Luoyang Vocational College Of Science And Technology,,否,是
洛阳商业职业学院,Luoyang Vocational College of Commerce,,否,是
洛阳文化旅游职业学院,Luoyang Vocational College Of Culture And Tourism,,否,否
洛阳职业技术学院,Luoyang Polytechnic,,否,否
漯河食品工程职业大学,Luohe Food Engineering Vocational University,,否,是
漯河医学高等专科学校,Luohe Medical College,,否,否
漯河职业技术学院,Luohe Vocational Technology College,,否,否
马鞍山师范高等专科学校,Maanshan Teacher'S College,,否,否
马鞍山学院,Ma'anshan University,,否,是
马鞍山职业技术学院,Maanshan Technical College,,否,否
满洲里俄语职业学院,Manzhouli International Vocational Institute,,否,否
茅台学院,Moutai Institute,,否,是
茂名职业技术学院,Maoming Polytechnic,,否,否
眉山药科职业学院,Meishan Pharmaceutical College,,否,是
眉山职业技术学院,Meishan Vocational And Technical College,,否,否
梅河口康美职业技术学院,Meihekou Kangmei Vocational And Technical College,,否,是
湄洲湾职业技术学院,Meizhouwan Vocational Technology College,,否,否
绵阳城市学院,Mianyang City College,,否,是
绵阳飞行职业学院,Vocational Flight College Of Mianyang,,否,是
绵阳职业技术学院,Mianyang Polytechnic,,否,否
民办安徽旅游职业学院,Tourism College Of Anhui,,否,是
民办合肥滨湖职业技术学院,Hefei Binhu Vocational & Technical College,,否,是
民办合肥财经职业学院,Hefei College Of Finance & Economics,,否,是
民办合肥经济技术职业学院,Hefei Professional College Of Economics And Technology,,否,是
民办四川天一学院,Sichuan Tianyi College,,否,是
民办万博科技职业学院,Wanbo Institute Of Science & Technology,,否,是
民政职业大学,China Civil Affairs University,,否,否
闽北职业技术学院,MinBei Vocational and Technical College,,否,否
闽江师范高等专科学校,Minjiang Teachers College,,否,否
闽南科技学院,MINNAN SCIENCE AND TECHNOLOGY COLLEGE,,否,是
闽南理工学院,Minnan University of Science and Technology,,否,是
闽西职业技术学院,Minxi Vocational & Technical College,,否,否
明达职业技术学院,Minda Polytechnic Institute,,否,是
牡丹江大学,Mudanjiang University,,否,否
牡丹江师范学院,Mudanjiang Normal University,,否,否
南昌大学共青学院,Gongqing College of Nanchang University,,是,否
南昌大学科学技术学院,Nanchang University College of Science and Technology,,是,否
南昌工学院,Nanchang Institute of Science & Technology,,否,是
南昌航空大学科技学院,Science and Technology College of NCHU,,是,否
南昌健康职业技术学院,Nanchang Academy Of Health Sciences,,否,否
南昌交通学院,Nanchang Jiaotong Institute,,否,是
南昌科技职业大学,Nanchang Polytechnic University,,否,是
南昌理工学院,Nanchang Institute of Technology,,否,是
南昌师范学院,Nanchang Normal University,,否,否
南昌医学院,Nanchang Medical College,,否,否
南昌应用技术师范学院,Nanchang Normal College of Applied Technology,,否,是
南昌影视传播职业学院,Nanchang Vocational Instttute Of Film And Televsion Covmunication,,否,是
南昌职业大学,Nanchang Vocational University,,否,是
南充电影工业职业学院,Nanchong Film Industry Vocational Academy,,否,是
南充科技职业学院,Nanchong Vocational College Of Science And Technology,,否,是
南充文化旅游职业学院,Nanchong Vocational College Of Culture And Tourism,,否,否
南充职业技术学院,Nanchong Vocational And Technical College,,否,否
南华大学船山学院,Chuanshan College University of South China,,是,否
南京财经大学红山学院,Nanjing University of Finance & Economics Hongshan College,,是,否
南京城市职业学院,Nanjing City Vocational College,,否,否
南京传媒学院,Communication University of China Nanjing,,否,是
南京大学金陵学院,Nanjing University Jinling College,,是,否
南京工业大学浦江学院,Nanjing Tech University Pujiang Institute,,是,否
南京工业职业技术大学,Nanjing University of Industry Technology,,否,否
南京航空航天大学金城学院,Nanhang Jincheng College,,是,否
南京机电职业技术学院,Nanjing Vocational Institute Of Mechatronic Technology,,否,否
南京交通职业技术学院,Nanjing Communications Institute Of Technology,,否,否
南京科技职业学院,Nanjing Polytechnic Institute,,否,否
南京理工大学泰州科技学院,"Taizhou Institute of Sci.&Tech., NJUST.",,是,否
南京理工大学紫金学院,Nanjing University of Science and Technology ZiJin College,,是,否
南京旅游职业学院,Nanjing Institute Of Tourism & Hospitality,,否,否
南京审计大学金审学院,Nanjing Audit University Jinshen College,,是,否
南京师范大学泰州学院,Nanjing Normal University Taizhou College,,是,否
南京师范大学中北学院,Nanjing Normal University Zhongbei College,,是,否
南京视觉艺术职业学院,Nanjing Institute Of Visual Arts,,否,是
南京特殊教育师范学院,Nanjing Normal University of Special Education,,否,否
南京铁道职业技术学院,Nanjing Vocational Institute Of Railway Technology,,否,否
南京信息职业技术学院,Nanjing Vocational College Of Information Technology,,否,否
南京医科大学康达学院,Kangda College of Nanjing Medical University,,是,否
南京艺术学院,Nanjing University of the Arts,,否,否
南京邮电大学通达学院,Tongda College of Nanjing University of Posts & Telecommunications,,是,否
南京中医药大学翰林学院,Nanjing University of Chinese Medicine Hanlin College,,是,否
南开大学滨海学院,Nankai University Binhai College,,是,否
南宁理工学院,Nanning College of Technology,,否,是
南宁师范大学师园学院,Shiyuan College of Nanning Normal University,,是,否
南宁学院,Nanning University,,否,是
南宁职业技术大学,NANNING VOCATIONAL AND TECHNICAL UNIVERSITY,,否,否
南通大学杏林学院,Nantong University Xinglin College,,是,否
南通科技职业学院,Nantong College Of Science And Technology,,否,否
南通理工学院,Nantong Institute of Technology,,否,是
南通师范高等专科学校,Nantong Normal College,,否,否
南通卫生健康职业学院,Nantong Health Vocational College,,否,否
南通职业大学,Nantong Vocational University,,否,否
南阳工艺美术职业学院,Nanyang Arts and Crafts Vocational College,,否,否
南阳科技职业学院,Nanyang Vocational College Of Science And Technology,,否,否
南阳理工学院,Nanyang Institute Of Technology,,否,否
南阳农业职业学院,Nanyang Vocational College Of Agriculture,,否,否
南阳师范学院,Nanyang Normal University,,否,否
南阳医学高等专科学校,Nanyang Medical College,,否,否
南阳职业学院,Nanyang Vocational College,,否,是
内江师范学院,Neijiang Normal University,,否,否
内江卫生与健康职业学院,Neijiang Health Vocational College,,否,否
内江职业技术学院,Neijiang Vocational&Technical College,,否,否
内蒙古北方职业技术学院,Inner Mongolia Northern Occupation Technique College,,否,是
内蒙古大学创业学院,"Pioneer College, Inner Mongolia University",,是,否
内蒙古电子信息职业技术学院,Inner Mongolia Electronic Information Vocational Technical College,,否,否
内蒙古丰州职业学院,Inner Mongolia Fengzhou Vocational College,,否,是
内蒙古工业职业学院,Inner Mongolia Industrial College,,否,是
内蒙古鸿德文理学院,Inner Mongolia Honder College of Arts and Sciences,,否,是
内蒙古化工职业学院,Inner Mongolia Vocational College Of Chemical Engineering,,否,否
内蒙古机电职业技术学院,Inner Mongolia Technical College Of Mechanics & Electrics,,否,否
内蒙古建筑职业技术大学,Inner Mongolia Technical University of Construction,,否,否
内蒙古交通职业技术学院,Inner Mongolia Jiaotong Vocational And Technical College Of Communication,,否,否
内蒙古经贸外语职业学院,"Inner Mongolia Vocational Institute Of Economy, Trade & Foreign Languages",,否,是
内蒙古警察学院,Inner Mongolia Police College,,否,否
内蒙古科技大学包头师范学院,Baotou Teachers' College,,否,否
内蒙古科技职业学院,Inner Mongolia Technical And Vocational College,,否,是
内蒙古美术职业学院,Inner Mongolia Art Vocational College,,否,是
内蒙古民族幼儿师范高等专科学校,Inner Mongolia Preschool Normal College,,否,否
内蒙古能源职业学院,Inner Mongolia Energy Vocational College,,否,是
内蒙古商贸职业学院,Inner Mongolia Business Vocational College,,否,否
内蒙古体育职业学院,Inner Mongolia Vocational College Of Physical Education,,否,否
内蒙古艺术学院,Inner Mongolia Arts University,,否,否
宁波财经学院,Ningbo University of Finance & Economics,,否,是
宁波城市职业技术学院,Ningbo City College Of Vocational Technology,,否,否
宁波大学科学技术学院,College of Science & Technology Ningbo University,,是,否
宁波东方理工大学,"Eastern Institute of Technology, Ningbo",,否,是
宁波卫生职业技术学院,Ningbo College Of Health Sciences,,否,否
宁波幼儿师范高等专科学校,Ningbo Childhood Education College,,否,否
宁波职业技术大学,Ningbo Polytechnic University,,否,否
宁德师范学院,Ningde Normal University,,否,否
宁德职业技术学院,Ningde Vocational And Technical College,,否,否
宁夏财经职业技术学院,Ningxia College Of Finance And Economics,,否,否
宁夏大学新华学院,Xinhua College of Ningxia University,,是,否
宁夏工商职业技术大学,Ningxia Polytechnic University of Business and Technology,,否,否
宁夏工业职业学院,Ningxia Institute Of Industry Technology,,否,否
宁夏建设职业技术学院,Ningxia College Of Construction,,否,否
宁夏交通职业技术学院,Ningxia Communications Technical College,,否,否
宁夏警官职业学院,Ningxia Police Vocational College,,否,否
宁夏理工学院,Ningxia Institute of Science and Technology,,否,是
宁夏民族职业技术学院,Ningxia Vocational And Technical College For Minorities,,否,否
宁夏葡萄酒与防沙治沙职业技术学院,Ningxia Technical College Of Wine And Desertification Prevention,,否,否
宁夏师范大学,Ningxia Normal University,,否,否
宁夏体育职业学院,Ningxia Vocational College Of Physical Education,,否,否
宁夏卫生健康职业技术学院,Ningxia Health Vocational and Technical College,,否,否
宁夏艺术职业学院,Ningxia Art Vocational College,,否,否
宁夏幼儿师范高等专科学校,Ningxia Preschool Education College,,否,否
宁夏职业技术大学,Ningxia Vocational and Technical University,,否,否
怒江职业技术学院,NuJiang Vocational and Technical College,,否,否
攀枝花攀西职业学院,Panzhihua Panxi Vocational College,,否,是
盘锦职业技术学院,Panjin Vocational And Technical College,,否,否
培黎职业学院,Peili Vocational College,,否,否
平顶山工业职业技术学院,Pingdingshan Polytenchnic College,,否,否
