中文名,外文名,软科排名,独立学院,民办高校
防城港职业技术学院,Fangchenggang Vocational And Technical College,,否,否
佛山职业技术学院,Foshan Polytechnic,,否,否
福建船政交通职业学院,Fujian Chuanzheng Communications College,,否,否
福建电力职业技术学院,Fujian Electric Power Technical College,,否,否
福建福耀科技大学,Fuyao University of Science and Technology,,否,是
福建华南女子职业学院,Fujian Hwa Nan Women's College,,否,是
福建技术师范学院,Fujian Polytechnic Normal University,,否,否
福建林业职业技术学院,Fujian Forestry Vocational Technical College,,否,否
福建农林大学金山学院,Jinshan College of Fujian Agriculture and Forestry University,,是,否
福建农业职业技术学院,Fujian Vocational College Of Agriculture,,否,否
福建商学院,Fujian Business University,,否,否
福建生物工程职业技术学院,Fujian Vocational College Of Bio-Engineering,,否,否
福建师范大学协和学院,Concord University College Fujian Normal University,,是,否
福建水利电力职业技术学院,Fujian College Of Water Conservancy And Electric Power,,否,否
福建体育职业技术学院,Fujian Sports Vocational Education And Technical College,,否,否
福建卫生职业技术学院,Fujian Health College,,否,否
福建信息职业技术学院,Fujian Polytechnic Of Information Technology,,否,否
福建艺术职业学院,Fujian Art Vocational College,,否,否
福建幼儿师范高等专科学校,Fujian Preschool Education College,,否,否
福州大学至诚学院,Fuzhou University Zhicheng College,,是,否
福州工商学院,Fuzhou Technology and Business University,,否,是
福州科技职业技术学院,Fuzhou Science And Technology College,,否,是
福州黎明职业技术学院,Fujian Liming Vocational ＆ Technical College,,否,是
福州理工学院,Fuzhou Institute of Technology,,否,是
福州墨尔本理工职业学院,Fuzhou Melbourne Polytechnic,,否,否
福州软件职业技术学院,Fuzhou Software Technology Vocational College,,否,是
福州外语外贸学院,Fuzhou University of Foreign Studies and Trade,,否,是
福州英华职业学院,Anglo-Chinese College,,否,是
福州职业技术大学,Fuzhou Polytechnic,,否,否
抚顺师范高等专科学校,Fushun Teachers College,,否,否
抚顺职业技术学院,Fushun Vocational Technology Institute,,否,否
抚州医药学院,Fuzhou Medical College,,否,否
抚州幼儿师范高等专科学校,Fuzhou Preschool Education College,,否,否
抚州职业技术学院,Fuzhou Vocational And Technical College,,否,否
阜康职业技术学院,Fukang Vocational and Technical College,,否,否
阜新高等专科学校,Fuxin Higher Training College,,否,否
阜阳科技职业学院,Fuyang Vocational College Of Science And Technology,,否,是
阜阳理工学院,Fuyang University of Technology,,否,是
阜阳幼儿师范高等专科学校,Fuyang Preschool Teachers College,,否,否
阜阳职业技术学院,Fuyang Vocational Technical College,,否,否
甘肃财贸职业学院,Gansu Vocational College Of Finance And Trade,,否,否
甘肃畜牧工程职业技术学院,Gansu Polytechnic College of Animal Husbandry & Engineering,,否,否
甘肃钢铁职业技术学院,Gansu Iron And Steel Vocational Technical College,,否,否
甘肃工业职业技术大学,Gansu Vocational University of Industry Technology,,否,否
甘肃机电职业技术学院,,,否,否
甘肃建筑职业技术学院,Gansu Vocational College Of Architecture,,否,否
甘肃交通职业技术学院,Gansu Vocational And Technical College Of Communications,,否,否
甘肃警察学院,Gansu Police College,,否,否
甘肃林业职业技术大学,Gansu Forestry Voctech University,,否,否
甘肃民族师范学院,Gansu Minzu Normal University,,否,否
甘肃农业职业技术学院,Gansu Vocational College Of Agricultural,,否,否
甘肃卫生职业学院,Gansu Health Vocational College,,否,否
甘肃医学院,Gansu Medical College,,否,否
甘肃有色冶金职业技术学院,Gansu Vocational & Technical College Of Nonferrous Metallurgy,,否,否
甘孜职业学院,Gan Zi Zhi Ye Xue Yuan,,否,否
赣东学院,Gandong University,,否,否
赣东职业技术学院,Gandong Vocational and Technical College,,否,是
赣南科技学院,Gannan University of Science and Technology,,否,否
赣南师范大学科技学院,Science and Technology College Gannan Normal University,,是,否
赣南卫生健康职业学院,Gannan Health Vocational College,,否,否
赣西科技职业学院,Ganxi Vocational Institue Of Science & Technology,,否,是
赣州起元职业学院,Ganzhou Qiyuan Polytechnic,,否,是
赣州师范高等专科学校,Ganzhou Teachers College,,否,否
赣州远恒佳职业学院,Ganzhou Yuanhengjia Vocational College,,否,是
赣州职业技术学院,Ganzhou Polytechnic,,否,否
公安消防部队高等专科学校,Public Security Fire Force College,,否,否
广安职业技术学院,Guang'an Vocational & Technical College,,否,否
广东白云学院,Guangdong Baiyun University,,否,是
广东碧桂园职业学院,Guangdong Country Garden Polytechnic,,否,是
广东财贸职业学院,Guangdong Finance ＆ Trade Vocational College,,否,否
广东潮州卫生健康职业学院,Guangdongsheng Chaozhou Weisheng Xuexiao,,否,否
广东创新科技职业学院,Guangdong Innovative Technical College,,否,是
广东第二师范学院,Guangdong University of Education,,否,否
广东东软学院,Neusoft Institute Guangdong,,否,是
广东工程职业技术学院,Guangdong Engineering Polytechnic,,否,否
广东工贸职业技术学院,Guangdong Polytechnic Of Industry And Commerce,,否,否
广东工商职业技术大学,Guangdong Business and Technology University,,否,是
广东环境保护工程职业学院,Guangdong Polytechnic Of Environmental Protection Engineering,,否,否
广东机电职业技术学院,Guangdong Mechanical & Electronical Polytechnic,,否,否
