code,parent_code,name,code_path,name_path
54250024,542500,日土县,area/CHN/540000/542500/54250024,中国-西藏-阿里-日土县
54250025,542500,革吉县,area/CHN/540000/542500/54250025,中国-西藏-阿里-革吉县
54250026,542500,改则县,area/CHN/540000/542500/54250026,中国-西藏-阿里-改则县
54250027,542500,措勤县,area/CHN/540000/542500/54250027,中国-西藏-阿里-措勤县
54260021,542600,林芝县,area/CHN/540000/542600/54260021,中国-西藏-林芝-林芝县
54260022,542600,工布江达县,area/CHN/540000/542600/54260022,中国-西藏-林芝-工布江达县
54260023,542600,米林县,area/CHN/540000/542600/54260023,中国-西藏-林芝-米林县
54260024,542600,墨脱县,area/CHN/540000/542600/54260024,中国-西藏-林芝-墨脱县
54260025,542600,波密县,area/CHN/540000/542600/54260025,中国-西藏-林芝-波密县
54260026,542600,察隅县,area/CHN/540000/542600/54260026,中国-西藏-林芝-察隅县
54260027,542600,朗　县,area/CHN/540000/542600/54260027,中国-西藏-林芝-朗　县
610100,610000,西安,area/CHN/610000/610100,中国-陕西-西安
610200,610000,铜川,area/CHN/610000/610200,中国-陕西-铜川
610300,610000,宝鸡,area/CHN/610000/610300,中国-陕西-宝鸡
610400,610000,咸阳,area/CHN/610000/610400,中国-陕西-咸阳
610500,610000,渭南,area/CHN/610000/610500,中国-陕西-渭南
610600,610000,延安,area/CHN/610000/610600,中国-陕西-延安
610700,610000,汉中,area/CHN/610000/610700,中国-陕西-汉中
610800,610000,榆林,area/CHN/610000/610800,中国-陕西-榆林
610900,610000,安康,area/CHN/610000/610900,中国-陕西-安康
611000,610000,商洛,area/CHN/610000/611000,中国-陕西-商洛
6101002,610100,新城区,area/CHN/610000/610100/6101002,中国-陕西-西安-新城区
6101003,610100,碑林区,area/CHN/610000/610100/6101003,中国-陕西-西安-碑林区
6101004,610100,莲湖区,area/CHN/610000/610100/6101004,中国-陕西-西安-莲湖区
61010011,610100,灞桥区,area/CHN/610000/610100/61010011,中国-陕西-西安-灞桥区
61010012,610100,未央区,area/CHN/610000/610100/61010012,中国-陕西-西安-未央区
61010013,610100,雁塔区,area/CHN/610000/610100/61010013,中国-陕西-西安-雁塔区
61010014,610100,阎良区,area/CHN/610000/610100/61010014,中国-陕西-西安-阎良区
61010015,610100,临潼区,area/CHN/610000/610100/61010015,中国-陕西-西安-临潼区
61010016,610100,长安区,area/CHN/610000/610100/61010016,中国-陕西-西安-长安区
61010022,610100,蓝田县,area/CHN/610000/610100/61010022,中国-陕西-西安-蓝田县
61010024,610100,周至县,area/CHN/610000/610100/61010024,中国-陕西-西安-周至县
61010025,610100,户　县,area/CHN/610000/610100/61010025,中国-陕西-西安-户　县
61010026,610100,高陵县,area/CHN/610000/610100/61010026,中国-陕西-西安-高陵县
6102002,610200,王益区,area/CHN/610000/610200/6102002,中国-陕西-铜川-王益区
6102003,610200,印台区,area/CHN/610000/610200/6102003,中国-陕西-铜川-印台区
6102004,610200,耀州区,area/CHN/610000/610200/6102004,中国-陕西-铜川-耀州区
61020022,610200,宜君县,area/CHN/610000/610200/61020022,中国-陕西-铜川-宜君县
6103002,610300,渭滨区,area/CHN/610000/610300/6103002,中国-陕西-宝鸡-渭滨区
6103003,610300,金台区,area/CHN/610000/610300/6103003,中国-陕西-宝鸡-金台区
6103004,610300,陈仓区,area/CHN/610000/610300/6103004,中国-陕西-宝鸡-陈仓区
